District,Cumulative number of passengers from china under observation as on today,cumulative number of asymptomatic passengers under home isolation as on today,cumulative number of symptomatic passengers hospitalized as on today,no of symptomatic passengers hospitalized today,Date,Discharged from home isolation
Thiruvananthapuram,111,105,6,5,31/01/20,
Kollam,128,122,6,4,31/01/20,
Pathanamthitta,43,43,0,0,31/01/20,
Idukki ,21,21,0,0,31/01/20,
Kottayam,52,52,0,0,31/01/20,
Alappuzha ,93,87,6,5,31/01/20,
Ernakulam,204,195,9,5,31/01/20,
Thrissur,124,110,14,11,31/01/20,
Palakkad,93,92,1,1,31/01/20,
Malappuram,210,205,5,3,31/01/20,
Kozhikode,214,211,3,2,31/01/20,
Wayanad,22,22,0,0,31/01/20,
Kannur,96,96,0,0,31/01/20,
Kasargod,60,60,0,0,31/01/20,
Thiruvananthapuram,126,119,7,1,01/02/20,
Kollam,156,147,9,3,01/02/20,
Pathanamthitta,64,63,1,1,01/02/20,
Idukki ,24,24,0,0,01/02/20,
Kottayam,62,62,0,0,01/02/20,
Alappuzha ,120,112,8,2,01/02/20,
Ernakulam,238,229,9,1,01/02/20,
Thrissur,154,134,20,6,01/02/20,
Palakkad,99,96,3,2,01/02/20,
Malappuram,265,259,6,1,01/02/20,
Kozhikode,268,262,6,3,01/02/20,
Wayanad,28,28,0,0,01/02/20,
Kannur,121,120,1,1,01/02/20,
Kasargod,68,68,0,0,01/02/20,
Thiruvananthapuram,153,147,6,1,02/02/20,
Kollam,166,160,6,0,02/02/20,
Pathanamthitta,66,64,2,1,02/02/20,
Idukki ,25,25,0,0,02/02/20,
Kottayam,66,66,0,0,02/02/20,
Alappuzha ,125,116,9,1,02/02/20,
Ernakulam,260,251,9,1,02/02/20,
Thrissur,174,152,22,2,02/02/20,
Palakkad,113,109,4,1,02/02/20,
Malappuram,315,307,8,3,02/02/20,
Kozhikode,291,284,7,1,02/02/20,
Wayanad,38,38,0,0,02/02/20,
Kannur,127,126,1,0,02/02/20,
Kasargod,80,79,1,1,02/02/20,
Thiruvananthapuram,174,178,6,1,03/02/20,
Kollam,201,194,7,0,03/02/20,
Pathanamthitta,70,69,1,1,03/02/20,
Idukki ,26,26,0,0,03/02/20,
Kottayam,79,79,0,0,03/02/20,
Alappuzha ,152,142,10,1,03/02/20,
Ernakulam,297,285,12,1,03/02/20,
Thrissur,189,165,24,2,03/02/20,
Palakkad,123,119,4,1,03/02/20,
Malappuram,343,330,13,3,03/02/20,
Kozhikode,310,306,4,1,03/02/20,
