District,Cumulative number of persons under observation as on today,Cumulative number of persons under home usolation as on today,Cumulative number of symptomatic passengers/ persons hospitalized as on today,Number of persons discharged from home isolation today,Date,No. of persons hospitalized today
Thiruvananthapuram,401,397,4,31,17/02/20,
Kollam,156,156,0,8,17/02/20,
Pathanamthitta,44,44,0,1,17/02/20,
Idukki ,27,27,0,0,17/02/20,
Kottayam,76,76,0,3,17/02/20,
Alappuzha ,172,172,0,0,17/02/20,
Ernakulam,323,323,0,14,17/02/20,
Thrissur,179,175,4,12,17/02/20,
Palakkad,109,109,0,8,17/02/20,
Malappuram,243,240,3,7,17/02/20,
Kozhikode,202,200,2,22,17/02/20,
Wayanad,54,54,0,0,17/02/20,
Kannur,193,193,0,10,17/02/20,
Kasargod,67,67,0,4,17/02/20,
Thiruvananthapuram,421,419,2,3,18/02/20,
Kollam,154,154,0,3,18/02/20,
Pathanamthitta,40,40,0,4,18/02/20,
Idukki ,24,24,0,3,18/02/20,
Kottayam,75,75,0,3,18/02/20,
Alappuzha ,175,174,1,0,18/02/20,
Ernakulam,322,322,0,1,18/02/20,
Thrissur,170,166,4,10,18/02/20,
Palakkad,105,104,1,4,18/02/20,
Malappuram,245,242,3,4,18/02/20,
Kozhikode,195,193,2,7,18/02/20,
Wayanad,54,54,0,0,18/02/20,
Kannur,186,186,0,7,18/02/20,
Kasargod,56,56,0,11,18/02/20,
Thiruvananthapuram,413,411,2,27,19/02/20,
Kollam,155,155,0,5,19/02/20,
Pathanamthitta,38,38,0,4,19/02/20,
Idukki ,24,24,0,0,19/02/20,
Kottayam,78,78,0,0,19/02/20,
Alappuzha ,181,180,1,0,19/02/20,
Ernakulam,332,332,0,4,19/02/20,
Thrissur,176,174,2,3,19/02/20,
Palakkad,105,104,1,1,19/02/20,
Malappuram,252,250,2,3,19/02/20,
Kozhikode,193,193,0,3,19/02/20,
Wayanad,56,56,0,1,19/02/20,
Kannur,186,186,0,4,19/02/20,
Kasargod,53,53,0,3,19/02/20,
Thiruvananthapuram,227,224,3,193,20/02/20,
Kollam,20,20,0,137,20/02/20,
Pathanamthitta,2,2,0,36,20/02/20,
Idukki ,2,2,0,22,20/02/20,
Kottayam,71,71,0,10,20/02/20,
Alappuzha ,40,39,1,141,20/02/20,
Ernakulam,111,110,1,227,20/02/20,
Thrissur,169,169,0,7,20/02/20,
Palakkad,11,11,0,94,20/02/20,
